GENESIS-Tabelle: 23111-01d
Anzahl der Krankenhäuser und aufgestellte Betten nach Art;;;;;;;;;;
der Träger - kreisfreie Städte und Kreise - Stichtag;;;;;;;;;;
Grunddaten der Krankenhäuser;;;;;;;;;;
;;;Träger;Träger;Träger;Träger;Träger;Träger;Träger;Träger
;;;Insgesamt;Insgesamt;Öffentliche Träger;Öffentliche Träger;Private Träger;Private Träger;Freigemeinnützige Träger;Freigemeinnützige Träger
;;;Krankenhäuser;Aufgestellte Betten in Krankenhäusern (Jahresdurchschnitt);Krankenhäuser;Aufgestellte Betten in Krankenhäusern (Jahresdurchschnitt);Krankenhäuser;Aufgestellte Betten in Krankenhäusern (Jahresdurchschnitt);Krankenhäuser;Aufgestellte Betten in Krankenhäusern (Jahresdurchschnitt)
;;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
31.12.2018;05119;    Oberhausen, krfr. Stadt;3;1466;-;-;1;199;2;1267
31.12.2018;05120;    Remscheid, krfr. Stadt;3;1024;-;-;1;454;2;570
31.12.2018;05122;    Solingen, krfr. Stadt;4;1026;1;600;-;-;3;426
31.12.2018;05124;    Wuppertal, krfr. Stadt;3;2074;-;-;1;1051;2;1023
31.12.2018;05154;    Kleve, Kreis;7;1763;1;403;-;-;6;1360
31.12.2018;05158;    Mettmann, Kreis;11;2154;1;364;3;587;7;1203
31.12.2018;05162;    Rhein-Kreis Neuss;8;2245;3;1382;-;-;5;863
31.12.2018;05166;    Viersen, Kreis;7;1564;4;840;1;261;2;463
31.12.2018;05170;    Wesel, Kreis;7;2533;-;-;-;-;7;2533
31.12.2018;053;  Köln, Regierungsbezirk;79;26139;18;11367;10;1143;51;13629
31.12.2018;05313;    Aachen, krfr. Stadt;-;-;-;-;-;-;-;-
31.12.2018;05314;    Bonn, krfr. Stadt;9;4599;2;2100;2;89;5;2410
31.12.2018;05315;    Köln, krfr. Stadt;22;7048;6;3547;-;-;16;3501
31.12.2018;05316;    Leverkusen, krfr. Stadt;2;1097;1;740;-;-;1;357
